industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
outdoor_recreation,US,campsite_chair,campsite chair,campingstol,1,0.21,366.7,8,False,False,False
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,13.14,6.39,105.6,8,True,False,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,24.86,14.14,75.8,8,True,True,True
wellness_supplements,US,essential_oils,essential oils,æteriske olier,74.86,66.93,11.8,8,True,True,True
home_appliances,US,kettle,kettle,elkedel,77.43,71.14,8.8,8,True,True,True
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0,0,0,8,False,False,False
garden_outdoor,US,bbq,BBQ,grill,61.71,61.82,-0.2,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,56.43,56.96,-0.9,8,True,True,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,36.29,36.82,-1.5,8,True,True,False
hair_care,US,leave_in_conditioner,leave in conditioner,leave in conditioner,60.14,61.89,-2.8,8,True,True,False
toys_games,US,stuffed_animal,stuffed animal,bamse,50.29,52.07,-3.4,8,True,True,False
kitchen_dining,US,cutting_board,cutting board,skærebræt,50.29,52.25,-3.8,8,True,True,False
home_appliances,US,washing_machine,washing machine,vaskemaskine,53.29,55.57,-4.1,8,True,True,False
outdoor_recreation,US,tent,tent,telt,66.71,69.54,-4.1,8,True,True,False
outdoor_recreation,US,backpack,backpack,rygsæk,34.57,36.11,-4.3,8,True,True,False
home_appliances,US,blender,blender,blender,32.29,33.93,-4.8,8,True,True,False
home_appliances,US,freezer,freezer,fryser,75,78.86,-4.9,8,True,True,False
garden_outdoor,US,garden_hammock,garden hammock,hængekøje,11.86,12.5,-5.1,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,60.86,64.64,-5.9,8,True,True,False
furniture_indoor,US,wardrobe,wardrobe,garderobe,53.86,57.64,-6.6,8,True,True,False
home_decor,US,curtains,curtains,gardiner,60.57,65,-6.8,8,True,True,False
travel_luggage,US,checked_luggage,checked luggage,kuffert indchecket,60.29,64.68,-6.8,8,True,True,False
home_appliances,US,dishwasher,dishwasher,opvaskemaskine,57,61.25,-6.9,8,True,True,False
home_decor,US,candle,candle,stearinlys,49.57,53.25,-6.9,8,True,True,False
footwear_casual,US,trail_runners,trail runners,trail løbesko,49.71,53.71,-7.4,8,True,True,False
toys_games,US,puzzle,puzzle,puslespil,33.57,36.25,-7.4,8,True,True,False
bath_personal_care,US,perfume,perfume,parfume,51,55.36,-7.9,8,True,True,False
sports_fitness,US,compression_wear,compression wear,kompressionstøj,69.43,75.86,-8.5,8,True,True,False
lingerie_intimates,US,bikini,bikini,bikini,59.57,65.14,-8.6,8,True,True,False
kitchen_dining,US,cast_iron_pan,cast iron pan,støbejernspande,61,67.39,-9.5,8,True,True,False
pet_supplies,US,litter_box,litter box,kattebakke,61,67.75,-10.0,8,True,True,False
sports_fitness,US,water_bottle,water bottle,drikkedunk,64.71,71.93,-10.0,8,True,True,False
toys_games,US,trampoline,trampoline,trampolin,53.57,59.5,-10.0,8,True,True,False
footwear_casual,US,platform_sneakers,platform sneakers,platform sneakers,19.57,21.79,-10.2,8,True,True,False
home_appliances,US,fan,fan,ventilator,62.14,69.32,-10.4,8,True,True,False
tech_accessories,US,headphones,headphones,hovedtelefoner,31.71,35.43,-10.5,8,True,True,False
footwear_casual,US,ballet_flats,ballet flats,ballerinasko,46,51.61,-10.9,8,True,True,False
toys_games,US,doll_house,doll house,dukkehus,48.14,54.14,-11.1,8,True,True,False
kids_baby,US,stroller,stroller,klapvogn,56.71,64.14,-11.6,8,True,True,False
bath_personal_care,US,bath_salts,bath salts,badesalt,50,56.79,-11.9,8,True,True,False
bath_personal_care,US,essential_oils,essential oils,æteriske olier,60.57,68.71,-11.9,8,True,True,False
fashion_women,US,ballet_flats,ballet flats,ballerinasko,45.43,51.61,-12.0,8,True,True,False
kitchen_dining,US,wine_glasses,wine glasses,vinglas,51.86,58.93,-12.0,8,True,True,False
travel_luggage,US,packing_cubes,packing cubes,packing cubes,54.86,62.32,-12.0,8,True,True,False
stationery_office,US,highlighters,highlighters,overstregningstusser,42,47.82,-12.2,8,True,True,False
diy_tools,US,measuring_tape,measuring tape,målebånd,60.86,69.46,-12.4,8,True,True,False
outdoor_recreation,US,hiking_boots,hiking boots,vandrestøvler,47.14,53.93,-12.6,8,True,True,False
sports_fitness,US,kettlebell,kettlebell,kettlebell,67.57,77.36,-12.7,8,True,True,False
hair_care,US,curling_iron,curling iron,krøllejern,45.71,52.54,-13.0,8,True,True,False
home_appliances,US,dehumidifier,dehumidifier,affugter,61.86,71.11,-13.0,8,True,True,False
wellness_supplements,US,creatine,creatine,kreatin,62.71,72.11,-13.0,8,True,True,False
beauty_skincare,US,vitamin_c_serum,vitamin c serum,c-vitamin serum,44.29,51.14,-13.4,8,True,True,False
stationery_office,US,calendar,calendar,kalender,52.14,60.29,-13.5,8,True,True,False
travel_luggage,US,luggage_tags,luggage tags,kuffertmærker,61.57,71.25,-13.6,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,58.71,68,-13.7,8,True,True,False
footwear_casual,US,running_shoes,running shoes,løbesko,32.71,37.89,-13.7,8,True,True,False
sports_fitness,US,running_shoes,running shoes,løbesko,32.71,37.93,-13.7,8,True,True,False
pet_supplies,US,chew_toys,chew toys,tyggelegetøj,43.71,50.96,-14.2,8,True,True,False
food_beverage_specialty,US,olive_oil,olive oil,olivenolie,59,68.86,-14.3,8,True,True,False
beauty_skincare,US,exfoliant,exfoliant,peeling,46.14,54.25,-14.9,8,True,True,False
bath_personal_care,US,bath_bomb,bath bomb,badebombe,26.71,31.43,-15.0,8,True,True,False
fashion_men,US,suit,suit,jakkesæt,37.71,44.5,-15.2,8,True,True,False
toys_games,US,board_game,board game,brætspil,41.29,48.82,-15.4,8,True,True,False
stationery_office,US,planner,planner,kalender,60.43,71.61,-15.6,8,True,True,False
tech_accessories,US,webcam,webcam,webcam,58.14,68.93,-15.6,8,True,True,False
automotive_accessories,US,car_detailing,car detailing,bilpleje,67.57,80.36,-15.9,8,True,True,False
kids_baby,US,diaper_bag,diaper bag,pusletaske,45.57,54.36,-16.2,8,True,True,False
automotive_accessories,US,dash_cam,dash cam,dashcam,51.86,62.29,-16.7,8,True,True,False
diy_tools,US,ladder,ladder,stige,64.57,77.61,-16.8,8,True,True,False
outdoor_recreation,US,camping_stove,camping stove,trangia,48.14,57.89,-16.8,8,True,True,False
sports_fitness,US,weighted_vest,weighted vest,vægtvest,53,63.71,-16.8,8,True,True,False
wellness_supplements,US,vitamin_d,vitamin d,d-vitamin,36.43,43.96,-17.1,8,True,True,False
beauty_makeup,US,lip_liner,lip liner,lip liner,32.29,39,-17.2,8,True,True,False
outdoor_recreation,US,cooler,cooler,køleboks,58,70.07,-17.2,8,True,True,False
home_appliances,US,robot_vacuum,robot vacuum,robotstøvsuger,37.29,45.46,-18.0,8,True,True,False
kitchen_dining,US,chef_knife,chef knife,kokkekniv,31.14,38.04,-18.1,8,True,True,False
footwear_casual,US,high_tops,high tops,høje sneakers,52.43,64.21,-18.4,8,True,True,False
kids_baby,US,kids_toys,kids toys,børnelegetøj,36.86,45.14,-18.4,8,True,True,False
beauty_makeup,US,setting_spray,setting spray,setting spray,36.86,45.32,-18.7,8,True,True,False
tech_accessories,US,screen_protector,screen protector,skærmbeskytter,50.57,62.21,-18.7,8,True,True,False
garden_outdoor,US,parasol,parasol,parasol,46.71,57.5,-18.8,8,True,True,False
stationery_office,US,notebook,notebook,notesbog,24.86,30.71,-19.1,8,True,True,False
fashion_men,US,chinos,chinos,chinos,46.57,57.71,-19.3,8,True,True,False
automotive_accessories,US,wiper_blades,wiper blades,viskerblade,41.57,51.75,-19.7,8,True,True,False
pet_supplies,US,leash,leash,hundesnor,10,12.46,-19.8,8,True,True,False
automotive_accessories,US,child_car_seat,child car seat,autostol,53,66.14,-19.9,8,True,True,False
lingerie_intimates,US,robe,robe,morgenkåbe,40.43,50.89,-20.6,8,True,True,False
automotive_accessories,US,ev_charger,ev charger,elbil oplader,57.71,73,-20.9,8,True,True,False
kitchen_dining,US,espresso_machine,espresso machine,espressomaskine,42.43,53.64,-20.9,8,True,True,False
home_appliances,US,refrigerator,refrigerator,køleskab,54.14,68.68,-21.2,8,True,True,False
beauty_makeup,US,mascara,mascara,mascara,17.71,22.5,-21.3,8,True,True,False
pet_supplies,US,cat_tree,cat tree,kradsetræ,44.43,56.57,-21.5,8,True,True,False
home_decor,US,vase,vase,vase,35.57,45.36,-21.6,8,True,True,False
garden_outdoor,US,fire_pit,fire pit,bålfad,40.43,51.86,-22.0,8,True,True,False
furniture_indoor,US,bookshelf,bookshelf,bogreol,30.29,38.86,-22.1,8,True,True,False
hair_care,US,hair_dryer,hair dryer,hårtørrer,45.57,58.5,-22.1,8,True,True,False
travel_luggage,US,carry_on_suitcase,carry on suitcase,håndbagage kuffert,36.14,46.79,-22.7,8,True,True,False
hair_care,US,curl_cream,curl cream,krølle creme,31.71,41.14,-22.9,8,True,True,False
footwear_casual,US,slides,slides,badesandaler,38.57,50.07,-23.0,8,True,True,False
automotive_accessories,US,winter_tires,winter tires,vinterdæk,48,62.5,-23.2,8,True,True,False
hair_care,US,dry_shampoo,dry shampoo,tørshampoo,34.71,45.21,-23.2,8,True,True,False
tech_accessories,US,phone_case,phone case,mobilcover,49.29,64.89,-24.1,8,True,True,False
fitness_apparel,US,leggings,leggings,leggings,40.43,53.36,-24.2,8,True,True,False
wellness_supplements,US,sleep_aids,sleep aids,søvnhjælp,46,60.75,-24.3,8,True,True,False
pet_supplies,US,scratching_post,scratching post,kradsetræ,38.86,51.39,-24.4,8,True,True,False
