industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,18,5.25,242.9,8,True,False,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,31.43,9.89,217.7,8,True,True,True
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,1.57,0.54,193.3,8,False,False,False
jewelry_accessories,US,minimalist_watch,minimalist watch,minimalistisk ur,4.43,1.75,153.1,8,False,False,False
fitness_apparel,US,athletic_tee,athletic tee,trænings t-shirt,8.43,3.36,151.1,8,False,False,False
garden_outdoor,US,garden_hammock,garden hammock,hængekøje,8.14,3.32,145.2,8,False,False,False
food_beverage_specialty,US,craft_chocolate,craft chocolate,håndlavet chokolade,13.14,5.39,143.7,8,True,False,False
fashion_women,US,oversized_blazer,oversized blazer,oversize blazer,18.57,7.89,135.3,8,True,False,False
food_beverage_specialty,US,single_origin_coffee,single origin coffee,single origin kaffe,9.71,4.68,107.6,8,False,False,False
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,37,18.11,104.3,8,True,True,True
food_beverage_specialty,US,natural_snacks,natural snacks,naturlige snacks,11.14,5.57,100.0,8,True,False,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,27.43,16.54,65.9,8,True,True,True
fitness_apparel,US,compression_tights,compression tights,kompressionstights,22,13.71,60.4,8,True,True,True
garden_outdoor,US,outdoor_rug,outdoor rug,udendørs tæppe,24.14,15.43,56.5,8,True,True,True
fashion_women,US,cargo_trousers,cargo trousers,cargo bukser,19,13.54,40.4,8,True,True,True
bikes_cycling,US,indoor_trainer,indoor trainer,hometrainer,11.29,8.39,34.5,8,True,True,True
tech_accessories,US,laptop_stand,laptop stand,laptop stander,14,10.61,32.0,8,True,True,True
footwear_casual,US,slides,slides,badesandaler,73.29,56.61,29.5,8,True,True,True
wellness_supplements,US,massage_gun,massage gun,massagepistol,48.86,38.57,26.7,8,True,True,True
home_decor,US,throw_pillow,throw pillow,pyntepude,25.57,20.64,23.9,8,True,True,True
garden_outdoor,US,outdoor_sofa,outdoor sofa,havesofa,7.86,6.57,19.6,8,False,False,False
footwear_casual,US,chelsea_boots,chelsea boots,chelsea boots,52.57,44.07,19.3,8,True,True,True
fashion_women,US,trench_coat,trench coat,trenchcoat,57.43,48.18,19.2,8,True,True,True
footwear_casual,US,loafers,loafers,loafers,59,50.11,17.7,8,True,True,True
home_decor,US,area_rug,area rug,gulvtæppe,24.43,20.79,17.5,8,True,True,True
lingerie_intimates,US,robe,robe,morgenkåbe,63.86,55.18,15.7,8,True,True,True
garden_outdoor,US,patio_set,patio set,havemøbelsæt,11.71,10.14,15.5,8,True,True,True
fashion_men,US,leather_jacket,leather jacket,læderjakke,42.86,37.5,14.3,8,True,True,True
fashion_women,US,knit_cardigan,knit cardigan,strikket cardigan,38.29,33.61,13.9,8,True,True,True
furniture_indoor,US,office_chair,office chair,kontorstol,22.14,19.5,13.6,8,True,True,True
automotive_accessories,US,winter_tires,winter tires,vinterdæk,70.86,62.79,12.9,8,True,True,True
lingerie_intimates,US,silk_pajamas,silk pajamas,silke pyjamas,46,40.86,12.6,8,True,True,True
bikes_cycling,US,bike_lock,bike lock,cykellås,33.86,30.5,11.0,8,True,True,True
furniture_indoor,US,tv_stand,tv stand,tv bord,40.71,36.79,10.7,8,True,True,True
stationery_office,US,notebook,notebook,notesbog,82,74.11,10.7,8,True,True,True
bikes_cycling,US,cycling_helmet,cycling helmet,cykelhjelm,24.14,21.82,10.6,8,True,True,True
fashion_women,US,slip_skirt,slip skirt,slipskirt,34.71,31.64,9.7,8,True,True,True
toys_games,US,puzzle,puzzle,puslespil,65.43,59.93,9.2,8,True,True,True
tech_accessories,US,headphones,headphones,hovedtelefoner,51.86,47.64,8.8,8,True,True,True
wellness_supplements,US,ashwagandha,ashwagandha,ashwagandha,51.71,47.75,8.3,8,True,True,True
home_decor,US,candle,candle,stearinlys,77.57,71.75,8.1,8,True,True,True
lighting,US,string_lights,string lights,lyskæde,38,35.25,7.8,8,True,True,False
lingerie_intimates,US,lounge_set,lounge set,loungewear sæt,16.29,15.11,7.8,8,True,True,False
kids_baby,US,nursery_decor,nursery decor,børneværelse indretning,33.29,31.18,6.8,8,True,True,False
hair_care,US,curling_iron,curling iron,krøllejern,58.14,54.64,6.4,8,True,True,False
hair_care,US,hair_dryer,hair dryer,hårtørrer,34.86,32.82,6.2,8,True,True,False
beauty_makeup,US,mascara,mascara,mascara,54.29,51.25,5.9,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,74.86,70.96,5.5,8,True,True,False
home_decor,US,vase,vase,vase,63.14,59.89,5.4,8,True,True,False
lighting,US,wall_sconce,wall sconce,væglampe,31.57,29.96,5.4,8,True,True,False
home_appliances,US,freezer,freezer,fryser,77.43,73.68,5.1,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,62.14,59.36,4.7,8,True,True,False
bath_personal_care,US,bath_bomb,bath bomb,badebombe,44.43,42.46,4.6,8,True,True,False
lighting,US,outdoor_solar_lights,outdoor solar lights,solcellelamper,25.57,24.46,4.5,8,True,True,False
fitness_apparel,US,yoga_pants,yoga pants,yogabukser,50.29,48.18,4.4,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,70.71,67.71,4.4,8,True,True,False
fashion_men,US,dress_shoes,dress shoes,lædersko,32.57,31.21,4.3,8,True,True,False
