industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
home_appliances,US,air_conditioner,air conditioner,aircondition,64.71,53.82,20.2,8,True,True,True
outdoor_recreation,US,backpack,backpack,rygsæk,43.14,39.25,9.9,8,True,True,True
stationery_office,US,highlighters,highlighters,overstregningstusser,60.14,57.54,4.5,8,True,True,False
pet_supplies,US,cat_tree,cat tree,kradsetræ,44.86,44.79,0.2,8,True,True,False
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0,0,0,8,False,False,False
toys_games,US,doll_house,doll house,dukkehus,54.43,55.18,-1.4,8,True,True,False
toys_games,US,stuffed_animal,stuffed animal,bamse,56.14,57.11,-1.7,8,True,True,False
hair_care,US,leave_in_conditioner,leave in conditioner,leave in conditioner,66.29,68.39,-3.1,8,True,True,False
home_appliances,US,freezer,freezer,fryser,79.43,82.43,-3.6,8,True,True,False
footwear_casual,US,slides,slides,badesandaler,37.71,39.86,-5.4,8,True,True,False
bath_personal_care,US,perfume,perfume,parfume,50.43,53.43,-5.6,8,True,True,False
home_appliances,US,fan,fan,ventilator,68.14,72.39,-5.9,8,True,True,False
footwear_casual,US,ballet_flats,ballet flats,ballerinasko,46,49.21,-6.5,8,True,True,False
toys_games,US,puzzle,puzzle,puslespil,32.71,35.07,-6.7,8,True,True,False
fashion_women,US,ballet_flats,ballet flats,ballerinasko,45.86,49.25,-6.9,8,True,True,False
bath_personal_care,US,bath_salts,bath salts,badesalt,52.86,57.04,-7.3,8,True,True,False
footwear_casual,US,trail_runners,trail runners,trail løbesko,50.43,55.32,-8.8,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,52.86,58,-8.9,8,True,True,False
fashion_men,US,suit,suit,jakkesæt,34.71,38.36,-9.5,8,True,True,False
diy_tools,US,measuring_tape,measuring tape,målebånd,57.86,64.61,-10.4,8,True,True,False
kids_baby,US,diaper_bag,diaper bag,pusletaske,46.29,51.79,-10.6,8,True,True,False
kitchen_dining,US,wine_glasses,wine glasses,vinglas,52.14,58.46,-10.8,8,True,True,False
sports_fitness,US,water_bottle,water bottle,drikkedunk,65.14,73,-10.8,8,True,True,False
wellness_supplements,US,creatine,creatine,kreatin,63.71,71.71,-11.2,8,True,True,False
fashion_men,US,chinos,chinos,chinos,48.57,55,-11.7,8,True,True,False
home_decor,US,candle,candle,stearinlys,48.86,56.11,-12.9,8,True,True,False
home_appliances,US,dehumidifier,dehumidifier,affugter,61.86,71.11,-13.0,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,56.57,65.18,-13.2,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,61.29,70.93,-13.6,8,True,True,False
home_decor,US,curtains,curtains,gardiner,59.29,68.96,-14.0,8,True,True,False
sports_fitness,US,compression_wear,compression wear,kompressionstøj,65,75.96,-14.4,8,True,True,False
footwear_casual,US,high_tops,high tops,høje sneakers,53.86,63,-14.5,8,True,True,False
home_appliances,US,washing_machine,washing machine,vaskemaskine,49.43,57.86,-14.6,8,True,True,False
garden_outdoor,US,bbq,BBQ,grill,52.86,62.89,-16.0,8,True,True,False
kids_baby,US,kids_clothing,kids clothing,børnetøj,41.29,49.18,-16.0,8,True,True,False
hair_care,US,hair_growth_serum,hair growth serum,hårvækst serum,29.71,35.43,-16.1,8,True,True,False
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,25.86,30.82,-16.1,8,True,True,False
home_appliances,US,dishwasher,dishwasher,opvaskemaskine,49.57,60.25,-17.7,8,True,True,False
home_appliances,US,blender,blender,blender,28,34.14,-18.0,8,True,True,False
automotive_accessories,US,wiper_blades,wiper blades,viskerblade,40.29,49.18,-18.1,8,True,True,False
lingerie_intimates,US,robe,robe,morgenkåbe,38.86,47.64,-18.4,8,True,True,False
automotive_accessories,US,winter_tires,winter tires,vinterdæk,53.71,66.18,-18.8,8,True,True,False
wellness_supplements,US,protein_powder,protein powder,proteinpulver,38.29,47.21,-18.9,8,True,True,False
outdoor_recreation,US,headlamp,headlamp,pandelampe,41,50.61,-19.0,8,True,True,False
toys_games,US,board_game,board game,brætspil,35.57,43.89,-19.0,8,True,True,False
pet_supplies,US,chew_toys,chew toys,tyggelegetøj,44.14,54.54,-19.1,8,True,True,False
stationery_office,US,calendar,calendar,kalender,52.14,64.57,-19.2,8,True,True,False
toys_games,US,trampoline,trampoline,trampolin,37.14,46.82,-20.7,8,True,True,False
travel_luggage,US,luggage_tags,luggage tags,kuffertmærker,55.71,70.25,-20.7,8,True,True,False
garden_outdoor,US,parasol,parasol,parasol,44.57,56.32,-20.9,8,True,True,False
pet_supplies,US,leash,leash,hundesnor,9.86,12.5,-21.1,8,False,True,False
furniture_indoor,US,wardrobe,wardrobe,garderobe,45.14,57.36,-21.3,8,True,True,False
home_appliances,US,refrigerator,refrigerator,køleskab,57,72.68,-21.6,8,True,True,False
diy_tools,US,ladder,ladder,stige,62.29,79.64,-21.8,8,True,True,False
lingerie_intimates,US,bikini,bikini,bikini,52.57,67.29,-21.9,8,True,True,False
food_beverage_specialty,US,olive_oil,olive oil,olivenolie,51.71,66.32,-22.0,8,True,True,False
home_decor,US,vase,vase,vase,33.57,43.21,-22.3,8,True,True,False
wellness_supplements,US,ashwagandha,ashwagandha,ashwagandha,45.57,58.64,-22.3,8,True,True,False
fashion_women,US,trench_coat,trench coat,trenchcoat,17.86,23.04,-22.5,8,True,True,False
stationery_office,US,planner,planner,kalender,62.14,80.14,-22.5,8,True,True,False
travel_luggage,US,checked_luggage,checked luggage,kuffert indchecket,51.71,66.75,-22.5,8,True,True,False
beauty_makeup,US,lip_liner,lip liner,lip liner,32,41.57,-23.0,8,True,True,False
wellness_supplements,US,sleep_aids,sleep aids,søvnhjælp,43.43,56.57,-23.2,8,True,True,False
stationery_office,US,notebook,notebook,notesbog,23.43,31.04,-24.5,8,True,True,False
wellness_supplements,US,vitamin_d,vitamin d,d-vitamin,54.43,72.61,-25.0,8,True,True,False
outdoor_recreation,US,tent,tent,telt,54,72.14,-25.1,8,True,True,False
beauty_makeup,US,mascara,mascara,mascara,15.57,20.96,-25.7,8,True,True,False
bath_personal_care,US,bath_bomb,bath bomb,badebombe,22.86,30.79,-25.8,8,True,True,False
tech_accessories,US,webcam,webcam,webcam,45.29,61.07,-25.8,8,True,True,False
sports_fitness,US,kettlebell,kettlebell,kettlebell,44.43,59.96,-25.9,8,True,True,False
beauty_makeup,US,highlighter,highlighter,highlighter,32.86,44.5,-26.2,8,True,True,False
kids_baby,US,kids_toys,kids toys,børnelegetøj,34.71,47.04,-26.2,8,True,True,False
hair_care,US,curling_iron,curling iron,krøllejern,38.57,52.61,-26.7,8,True,True,False
pet_supplies,US,scratching_post,scratching post,kradsetræ,38.14,52.21,-26.9,8,True,True,False
sports_fitness,US,weighted_vest,weighted vest,vægtvest,45.29,62.32,-27.3,8,True,True,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,19.29,26.79,-28.0,8,True,True,False
beauty_skincare,US,exfoliant,exfoliant,peeling,40.14,55.96,-28.3,8,True,True,False
kitchen_dining,US,ceramic_mugs,ceramic mugs,keramikkrus,31.71,44.21,-28.3,8,True,True,False
pet_supplies,US,litter_box,litter box,kattebakke,50.71,70.79,-28.4,8,True,True,False
outdoor_recreation,US,cooler,cooler,køleboks,55.43,77.86,-28.8,8,True,True,False
kids_baby,US,stroller,stroller,klapvogn,44.43,62.61,-29.0,8,True,True,False
beauty_makeup,US,setting_spray,setting spray,setting spray,35.29,49.75,-29.1,8,True,True,False
bikes_cycling,US,gravel_bike,gravel bike,gravel bike,33.43,47.64,-29.8,8,True,True,False
home_appliances,US,kettle,kettle,elkedel,55.57,79.29,-29.9,8,True,True,False
automotive_accessories,US,car_detailing,car detailing,bilpleje,54.29,77.57,-30.0,8,True,True,False
hair_care,US,curl_cream,curl cream,krølle creme,33.57,48.04,-30.1,8,True,True,False
kitchen_dining,US,chef_knife,chef knife,kokkekniv,31.43,45.14,-30.4,8,True,True,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,31.29,45.07,-30.6,8,True,True,False
bikes_cycling,US,cycling_jersey,cycling jersey,cykeltrøje,38.14,55.07,-30.7,8,True,True,False
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,6.43,9.29,-30.8,8,False,True,False
tech_accessories,US,headphones,headphones,hovedtelefoner,24.57,35.5,-30.8,8,True,True,False
bath_personal_care,US,body_scrub,body scrub,body scrub,31.86,46.36,-31.3,8,True,True,False
fitness_apparel,US,leggings,leggings,leggings,36.43,53.21,-31.5,8,True,True,False
fitness_apparel,US,tennis_skirt,tennis skirt,tennis nederdel,13.86,20.25,-31.6,8,True,True,False
hair_care,US,hair_mask,hair mask,hårmaske,31.29,45.82,-31.7,8,True,True,False
beauty_skincare,US,vitamin_c_serum,vitamin c serum,c-vitamin serum,39,57.5,-32.2,8,True,True,False
tech_accessories,US,phone_case,phone case,mobilcover,45.57,67.32,-32.3,8,True,True,False
jewelry_accessories,US,hoop_earrings,hoop earrings,creoler,14.43,21.43,-32.7,8,True,True,False
stationery_office,US,sticky_notes,sticky notes,post-it,22,32.82,-33.0,8,True,True,False
fitness_apparel,US,yoga_pants,yoga pants,yogabukser,19.57,29.25,-33.1,8,True,True,False
kitchen_dining,US,cutting_board,cutting board,skærebræt,37.86,56.82,-33.4,8,True,True,False
automotive_accessories,US,child_car_seat,child car seat,autostol,48.57,73.07,-33.5,8,True,True,False
automotive_accessories,US,ev_charger,ev charger,elbil oplader,46.14,69.68,-33.8,8,True,True,False
home_appliances,US,food_processor,food processor,foodprocessor,41.43,63.07,-34.3,8,True,True,False
bath_personal_care,US,essential_oils,essential oils,æteriske olier,37.14,56.79,-34.6,8,True,True,False
furniture_indoor,US,bookshelf,bookshelf,bogreol,26.29,40.25,-34.7,8,True,True,False
wellness_supplements,US,essential_oils,essential oils,æteriske olier,36.86,56.82,-35.1,8,True,True,False
pet_supplies,US,food_bowl,food bowl,foderskål,36.29,56.11,-35.3,8,True,True,False
bikes_cycling,US,road_bike,road bike,racercykel,32.29,49.96,-35.4,8,True,True,False
fitness_apparel,US,matching_set,matching set,matching sæt,30.14,46.68,-35.4,8,True,True,False
