industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
outdoor_recreation,US,campsite_chair,campsite chair,campingstol,11.71,3.57,228.0,8,True,False,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,18.86,9.79,92.7,8,True,True,True
fashion_women,US,oversized_blazer,oversized blazer,oversize blazer,3.14,1.64,91.3,8,False,False,False
kids_baby,US,kids_clothing,kids clothing,børnetøj,57.86,44.25,30.8,8,True,True,True
outdoor_recreation,US,backpack,backpack,rygsæk,62.43,48.36,29.1,8,True,True,True
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,23.43,20.29,15.5,8,True,True,True
garden_outdoor,US,garden_hammock,garden hammock,hængekøje,5.86,5.5,6.5,8,False,False,False
toys_games,US,stuffed_animal,stuffed animal,bamse,59,55.46,6.4,8,True,True,False
sports_fitness,US,yoga_mat,yoga mat,yogamåtte,7.86,7.43,5.8,8,False,False,False
footwear_casual,US,slides,slides,badesandaler,40.14,38.25,4.9,8,True,True,False
bath_personal_care,US,perfume,perfume,parfume,53.43,51.07,4.6,8,True,True,False
stationery_office,US,highlighters,highlighters,overstregningstusser,60.14,57.54,4.5,8,True,True,False
outdoor_recreation,US,hiking_boots,hiking boots,vandrestøvler,43.14,41.43,4.1,8,True,True,False
stationery_office,US,notebook,notebook,notesbog,31.43,30.29,3.8,8,True,True,False
footwear_casual,US,high_tops,high tops,høje sneakers,62.43,60.36,3.4,8,True,True,False
fashion_men,US,suit,suit,jakkesæt,41.57,40.71,2.1,8,True,True,False
sports_fitness,US,water_bottle,water bottle,drikkedunk,69.57,68.11,2.1,8,True,True,False
toys_games,US,doll_house,doll house,dukkehus,57.71,56.57,2.0,8,True,True,False
fashion_women,US,ballet_flats,ballet flats,ballerinasko,47.43,46.61,1.8,8,True,True,False
footwear_casual,US,ballet_flats,ballet flats,ballerinasko,46.86,46.57,0.6,8,True,True,False
stationery_office,US,calendar,calendar,kalender,75.43,75.04,0.5,8,True,True,False
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0,0,0,8,False,False,False
lingerie_intimates,US,robe,robe,morgenkåbe,40.86,40.93,-0.2,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,71.14,71.89,-1.0,8,True,True,False
kitchen_dining,US,wine_glasses,wine glasses,vinglas,52.86,53.68,-1.5,8,True,True,False
fashion_women,US,slip_skirt,slip skirt,slipskirt,11,11.21,-1.9,8,True,True,False
sports_fitness,US,compression_wear,compression wear,kompressionstøj,68.14,69.43,-1.9,8,True,True,False
diy_tools,US,measuring_tape,measuring tape,målebånd,65.14,66.54,-2.1,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,59.57,61.64,-3.4,8,True,True,False
toys_games,US,puzzle,puzzle,puslespil,37.43,38.93,-3.9,8,True,True,False
home_decor,US,curtains,curtains,gardiner,57,59.71,-4.5,8,True,True,False
home_decor,US,vase,vase,vase,35,36.64,-4.5,8,True,True,False
beauty_makeup,US,lip_liner,lip liner,lip liner,38.86,40.79,-4.7,8,True,True,False
home_decor,US,candle,candle,stearinlys,50.57,53.11,-4.8,8,True,True,False
footwear_casual,US,loafers,loafers,loafers,29,30.5,-4.9,8,True,True,False
hair_care,US,leave_in_conditioner,leave in conditioner,leave in conditioner,68.43,71.96,-4.9,8,True,True,False
furniture_indoor,US,wardrobe,wardrobe,garderobe,50.71,53.46,-5.1,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,64.86,68.39,-5.2,8,True,True,False
lingerie_intimates,US,silk_pajamas,silk pajamas,silke pyjamas,30.57,32.39,-5.6,8,True,True,False
home_appliances,US,freezer,freezer,fryser,71.86,76.36,-5.9,8,True,True,False
pet_supplies,US,leash,leash,hundesnor,11.29,12,-6.0,8,True,True,False
fashion_men,US,chinos,chinos,chinos,48.43,52.39,-7.6,8,True,True,False
home_appliances,US,washing_machine,washing machine,vaskemaskine,70.86,76.71,-7.6,8,True,True,False
travel_luggage,US,luggage_tags,luggage tags,kuffertmærker,61,66.14,-7.8,8,True,True,False
garden_outdoor,US,bbq,BBQ,grill,47.71,51.86,-8.0,8,True,True,False
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,5.29,5.75,-8.1,8,False,False,False
footwear_casual,US,trail_runners,trail runners,trail løbesko,50.43,55.32,-8.8,8,True,True,False
wellness_supplements,US,creatine,creatine,kreatin,69.14,75.86,-8.9,8,True,True,False
home_appliances,US,dishwasher,dishwasher,opvaskemaskine,59.57,65.79,-9.4,8,True,True,False
toys_games,US,trampoline,trampoline,trampolin,47.86,53.25,-10.1,8,True,True,False
kids_baby,US,diaper_bag,diaper bag,pusletaske,41.71,47,-11.2,8,True,True,False
outdoor_recreation,US,tent,tent,telt,52.71,59.39,-11.2,8,True,True,False
pet_supplies,US,litter_box,litter box,kattebakke,52.29,59,-11.4,8,True,True,False
tech_accessories,US,webcam,webcam,webcam,66.43,75.36,-11.8,8,True,True,False
kitchen_dining,US,ceramic_mugs,ceramic mugs,keramikkrus,30.14,34.32,-12.2,8,True,True,False
diy_tools,US,tool_box,tool box,værktøjskasse,22.57,25.82,-12.6,8,True,True,False
kids_baby,US,stroller,stroller,klapvogn,46.86,53.68,-12.7,8,True,True,False
fashion_women,US,trench_coat,trench coat,trenchcoat,22.29,25.64,-13.1,8,True,True,False
fitness_apparel,US,leggings,leggings,leggings,38.71,44.54,-13.1,8,True,True,False
