industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
outdoor_recreation,US,campsite_chair,campsite chair,campingstol,0.86,0,999,8,False,False,False
food_beverage_specialty,US,natural_snacks,natural snacks,naturlige snacks,19.29,5.89,227.3,8,True,False,False
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,1.71,0.54,220.0,8,False,False,False
garden_outdoor,US,garden_hammock,garden hammock,hængekøje,7.29,2.39,204.5,8,False,False,False
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,25.57,8.46,202.1,8,True,True,True
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,27.43,9.89,177.3,8,True,True,True
fashion_men,US,tee_basics,tee basics,basis t-shirt,3,1.29,133.3,8,False,False,False
food_beverage_specialty,US,craft_chocolate,craft chocolate,håndlavet chokolade,14.71,7.43,98.1,8,True,False,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,28.57,14.75,93.7,8,True,True,True
food_beverage_specialty,US,single_origin_coffee,single origin coffee,single origin kaffe,11.71,6.14,90.7,8,True,False,False
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,40.43,21.46,88.4,8,True,True,True
fitness_apparel,US,athletic_tee,athletic tee,trænings t-shirt,6.71,3.96,69.4,8,False,False,False
bikes_cycling,US,indoor_trainer,indoor trainer,hometrainer,13.29,7.86,69.1,8,True,False,False
jewelry_accessories,US,minimalist_watch,minimalist watch,minimalistisk ur,5.14,3.07,67.4,8,False,False,False
fashion_women,US,oversized_blazer,oversized blazer,oversize blazer,23.29,16.07,44.9,8,True,True,True
tech_accessories,US,phone_case,phone case,mobilcover,56.43,45.75,23.3,8,True,True,True
fitness_apparel,US,compression_tights,compression tights,kompressionstights,20.29,16.68,21.6,8,True,True,True
tech_accessories,US,screen_protector,screen protector,skærmbeskytter,45.29,38.04,19.1,8,True,True,True
