industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0.57,0,999,8,False,False,False
food_beverage_specialty,US,natural_snacks,natural snacks,naturlige snacks,27.14,7.93,242.3,8,True,False,False
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,1.57,0.5,214.3,8,False,False,False
food_beverage_specialty,US,single_origin_coffee,single origin coffee,single origin kaffe,14.57,4.68,211.5,8,True,False,False
food_beverage_specialty,US,craft_chocolate,craft chocolate,håndlavet chokolade,23.29,9.36,148.9,8,True,True,True
sports_fitness,US,fitness_tracker,fitness tracker,aktivitetsmåler,22.29,9.04,146.6,8,True,True,True
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,29.86,12.36,141.6,8,True,True,True
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,15.14,6.29,140.9,8,True,False,False
travel_luggage,US,travel_adapter,travel adapter,rejseadapter,21.57,9.18,135.0,8,True,True,True
fashion_men,US,tee_basics,tee basics,basis t-shirt,2.57,1.14,125.0,8,False,False,False
travel_luggage,US,packing_cubes,packing cubes,packing cubes,37.57,17.79,111.2,8,True,True,True
fashion_women,US,oversized_blazer,oversized blazer,oversize blazer,27.57,14.07,95.9,8,True,True,True
fitness_apparel,US,athletic_tee,athletic tee,trænings t-shirt,5.43,3.07,76.7,8,False,False,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,17.29,10.14,70.4,8,True,True,True
fitness_apparel,US,compression_tights,compression tights,kompressionstights,25.14,15.07,66.8,8,True,True,True
outdoor_recreation,US,hiking_boots,hiking boots,vandrestøvler,54.29,32.89,65.0,8,True,True,True
jewelry_accessories,US,minimalist_watch,minimalist watch,minimalistisk ur,5.57,3.5,59.2,8,False,False,False
wellness_supplements,US,essential_oils,essential oils,æteriske olier,48.14,30.96,55.5,8,True,True,True
bath_personal_care,US,essential_oils,essential oils,æteriske olier,48,30.96,55.0,8,True,True,True
tech_accessories,US,screen_protector,screen protector,skærmbeskytter,61.71,40.04,54.1,8,True,True,True
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,40.86,26.71,52.9,8,True,True,True
kitchen_dining,US,cutting_board,cutting board,skærebræt,52,34.43,51.0,8,True,True,True
kitchen_dining,US,cast_iron_pan,cast iron pan,støbejernspande,55.71,37.68,47.9,8,True,True,True
home_appliances,US,space_heater,space heater,el-radiator,45.86,31.93,43.6,8,True,True,True
bikes_cycling,US,indoor_trainer,indoor trainer,hometrainer,15.29,11,39.0,8,True,True,True
garden_outdoor,US,garden_lighting,garden lighting,havebelysning,17.86,13.04,37.0,8,True,True,True
fitness_apparel,US,tennis_skirt,tennis skirt,tennis nederdel,56.86,42.5,33.8,8,True,True,True
