industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
outdoor_recreation,US,campsite_chair,campsite chair,campingstol,11.71,3.57,228.0,8,True,False,False
outdoor_recreation,US,backpack,backpack,rygsæk,55.14,46.89,17.6,8,True,True,True
stationery_office,US,highlighters,highlighters,overstregningstusser,60.14,57.54,4.5,8,True,True,False
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0,0,0,8,False,False,False
footwear_casual,US,slides,slides,badesandaler,37.29,37.5,-0.6,8,True,True,False
toys_games,US,stuffed_animal,stuffed animal,bamse,56.14,56.96,-1.4,8,True,True,False
fashion_women,US,ballet_flats,ballet flats,ballerinasko,47.29,48.25,-2.0,8,True,True,False
toys_games,US,doll_house,doll house,dukkehus,55.43,57.89,-4.3,8,True,True,False
bath_personal_care,US,perfume,perfume,parfume,50.43,53.43,-5.6,8,True,True,False
hair_care,US,leave_in_conditioner,leave in conditioner,leave in conditioner,65.86,69.89,-5.8,8,True,True,False
toys_games,US,puzzle,puzzle,puslespil,37,39.39,-6.1,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,64.57,68.82,-6.2,8,True,True,False
footwear_casual,US,high_tops,high tops,høje sneakers,58,61.82,-6.2,8,True,True,False
footwear_casual,US,ballet_flats,ballet flats,ballerinasko,46,49.21,-6.5,8,True,True,False
furniture_indoor,US,wardrobe,wardrobe,garderobe,51.71,55.36,-6.6,8,True,True,False
sports_fitness,US,water_bottle,water bottle,drikkedunk,64.57,70.32,-8.2,8,True,True,False
wellness_supplements,US,creatine,creatine,kreatin,69.14,75.86,-8.9,8,True,True,False
fashion_men,US,chinos,chinos,chinos,48.29,53.07,-9.0,8,True,True,False
fashion_men,US,suit,suit,jakkesæt,34.71,38.36,-9.5,8,True,True,False
stationery_office,US,notebook,notebook,notesbog,29,32.14,-9.8,8,True,True,False
diy_tools,US,measuring_tape,measuring tape,målebånd,57.86,64.61,-10.4,8,True,True,False
kids_baby,US,diaper_bag,diaper bag,pusletaske,46.29,51.79,-10.6,8,True,True,False
kitchen_dining,US,wine_glasses,wine glasses,vinglas,52.14,58.46,-10.8,8,True,True,False
home_decor,US,candle,candle,stearinlys,51.14,57.5,-11.1,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,51,57.68,-11.6,8,True,True,False
home_appliances,US,freezer,freezer,fryser,73.29,83,-11.7,8,True,True,False
home_appliances,US,washing_machine,washing machine,vaskemaskine,67.57,76.5,-11.7,8,True,True,False
tech_accessories,US,webcam,webcam,webcam,66.43,75.36,-11.8,8,True,True,False
bath_personal_care,US,bath_bomb,bath bomb,badebombe,25.14,28.61,-12.1,8,True,True,False
footwear_casual,US,trail_runners,trail runners,trail løbesko,46.57,53.36,-12.7,8,True,True,False
toys_games,US,trampoline,trampoline,trampolin,48.29,55.57,-13.1,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,61.86,71.36,-13.3,8,True,True,False
bath_personal_care,US,bath_salts,bath salts,badesalt,47.57,55.25,-13.9,8,True,True,False
home_decor,US,curtains,curtains,gardiner,59.29,68.96,-14.0,8,True,True,False
garden_outdoor,US,parasol,parasol,parasol,44.29,51.68,-14.3,8,True,True,False
sports_fitness,US,compression_wear,compression wear,kompressionstøj,65,75.96,-14.4,8,True,True,False
garden_outdoor,US,bbq,BBQ,grill,47.29,55.93,-15.5,8,True,True,False
home_decor,US,vase,vase,vase,34,40.21,-15.5,8,True,True,False
kids_baby,US,kids_clothing,kids clothing,børnetøj,41.29,49.18,-16.0,8,True,True,False
hair_care,US,hair_growth_serum,hair growth serum,hårvækst serum,29.71,35.43,-16.1,8,True,True,False
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,25.86,30.82,-16.1,8,True,True,False
food_beverage_specialty,US,olive_oil,olive oil,olivenolie,52.14,62.21,-16.2,8,True,True,False
beauty_makeup,US,lip_liner,lip liner,lip liner,35.86,42.86,-16.3,8,True,True,False
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,6.43,7.68,-16.3,8,False,False,False
home_appliances,US,blender,blender,blender,27.86,33.5,-16.8,8,True,True,False
home_appliances,US,dishwasher,dishwasher,opvaskemaskine,59.71,72.11,-17.2,8,True,True,False
beauty_makeup,US,highlighter,highlighter,highlighter,42.29,51.32,-17.6,8,True,True,False
automotive_accessories,US,wiper_blades,wiper blades,viskerblade,40.29,49.18,-18.1,8,True,True,False
pet_supplies,US,chew_toys,chew toys,tyggelegetøj,48.86,59.71,-18.2,8,True,True,False
footwear_casual,US,loafers,loafers,loafers,26.86,32.89,-18.3,8,True,True,False
lingerie_intimates,US,silk_pajamas,silk pajamas,silke pyjamas,31.43,38.46,-18.3,8,True,True,False
lingerie_intimates,US,robe,robe,morgenkåbe,38.86,47.64,-18.4,8,True,True,False
pet_supplies,US,leash,leash,hundesnor,10.43,12.82,-18.7,8,True,True,False
automotive_accessories,US,winter_tires,winter tires,vinterdæk,53.71,66.18,-18.8,8,True,True,False
toys_games,US,board_game,board game,brætspil,35.57,43.89,-19.0,8,True,True,False
stationery_office,US,calendar,calendar,kalender,52.14,64.57,-19.2,8,True,True,False
outdoor_recreation,US,tent,tent,telt,52.57,66.25,-20.6,8,True,True,False
kids_baby,US,baby_bath,baby bath,babybadekar,32.29,40.71,-20.7,8,True,True,False
travel_luggage,US,luggage_tags,luggage tags,kuffertmærker,55.71,70.25,-20.7,8,True,True,False
lingerie_intimates,US,shapewear,shapewear,shapewear,32.14,40.64,-20.9,8,True,True,False
fashion_women,US,trench_coat,trench coat,trenchcoat,21.14,26.82,-21.2,8,True,True,False
diy_tools,US,ladder,ladder,stige,62.29,79.64,-21.8,8,True,True,False
lingerie_intimates,US,bikini,bikini,bikini,52.57,67.29,-21.9,8,True,True,False
stationery_office,US,planner,planner,kalender,62.14,80.14,-22.5,8,True,True,False
travel_luggage,US,checked_luggage,checked luggage,kuffert indchecket,51.71,66.75,-22.5,8,True,True,False
sports_fitness,US,kettlebell,kettlebell,kettlebell,42.57,55.32,-23.0,8,True,True,False
wellness_supplements,US,sleep_aids,sleep aids,søvnhjælp,43.43,56.57,-23.2,8,True,True,False
wellness_supplements,US,protein_powder,protein powder,proteinpulver,38,49.86,-23.8,8,True,True,False
beauty_makeup,US,setting_spray,setting spray,setting spray,35.57,46.79,-24.0,8,True,True,False
sports_fitness,US,weighted_vest,weighted vest,vægtvest,43.43,57.11,-24.0,8,True,True,False
wellness_supplements,US,ashwagandha,ashwagandha,ashwagandha,48.43,64,-24.3,8,True,True,False
kids_baby,US,kids_toys,kids toys,børnelegetøj,34.71,47.04,-26.2,8,True,True,False
lingerie_intimates,US,matching_set,matching set,matching sæt,29.86,40.57,-26.4,8,True,True,False
beauty_makeup,US,mascara,mascara,mascara,16.43,22.36,-26.5,8,True,True,False
outdoor_recreation,US,cooler,cooler,køleboks,51.43,70.04,-26.6,8,True,True,False
hair_care,US,curling_iron,curling iron,krøllejern,38.57,52.61,-26.7,8,True,True,False
tech_accessories,US,headphones,headphones,hovedtelefoner,31.14,42.57,-26.8,8,True,True,False
pet_supplies,US,scratching_post,scratching post,kradsetræ,38.14,52.21,-26.9,8,True,True,False
fashion_women,US,slip_skirt,slip skirt,slipskirt,11.14,15.29,-27.1,8,True,True,False
wellness_supplements,US,vitamin_d,vitamin d,d-vitamin,52.86,72.57,-27.2,8,True,True,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,19.29,26.79,-28.0,8,True,True,False
kitchen_dining,US,ceramic_mugs,ceramic mugs,keramikkrus,31.71,44.21,-28.3,8,True,True,False
pet_supplies,US,litter_box,litter box,kattebakke,50.71,70.79,-28.4,8,True,True,False
stationery_office,US,fountain_pen,fountain pen,fyldepen,19.71,27.54,-28.4,8,True,True,False
kids_baby,US,school_bag,school bag,skoletaske,28,39.29,-28.7,8,True,True,False
beauty_skincare,US,exfoliant,exfoliant,peeling,40.57,56.96,-28.8,8,True,True,False
kids_baby,US,stroller,stroller,klapvogn,44.43,62.61,-29.0,8,True,True,False
home_appliances,US,refrigerator,refrigerator,køleskab,53.57,75.82,-29.3,8,True,True,False
bikes_cycling,US,gravel_bike,gravel bike,gravel bike,33.43,47.64,-29.8,8,True,True,False
