industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
outdoor_recreation,US,campsite_chair,campsite chair,campingstol,0.86,0,999,8,False,False,False
fashion_women,US,cargo_trousers,cargo trousers,cargo bukser,46.14,8.68,431.7,8,True,True,True
food_beverage_specialty,US,single_origin_coffee,single origin coffee,single origin kaffe,13.29,3.32,300.0,8,True,False,False
jewelry_accessories,US,minimalist_watch,minimalist watch,minimalistisk ur,6,1.68,257.4,8,False,False,False
fashion_men,US,wool_overcoat,wool overcoat,uldfrakke,25,7.07,253.5,8,True,False,False
garden_outdoor,US,garden_hammock,garden hammock,hængekøje,9,2.61,245.2,8,False,False,False
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,1.43,0.5,185.7,8,False,False,False
bikes_cycling,US,bike_pannier,bike pannier,cykeltaske,25.29,9,181.0,8,True,True,True
fashion_women,US,oversized_blazer,oversized blazer,oversize blazer,20.71,7.79,166.1,8,True,False,False
food_beverage_specialty,US,natural_snacks,natural snacks,naturlige snacks,13.14,5.68,131.4,8,True,False,False
fitness_apparel,US,athletic_tee,athletic tee,trænings t-shirt,8.57,3.71,130.8,8,False,False,False
fashion_men,US,tee_basics,tee basics,basis t-shirt,5,2.68,86.7,8,False,False,False
stationery_office,US,calligraphy_pen,calligraphy pen,kalligrafi pen,21.29,11.61,83.4,8,True,True,True
home_appliances,US,tumble_dryer,tumble dryer,tørretumbler,33.71,18.68,80.5,8,True,True,True
bikes_cycling,US,indoor_trainer,indoor trainer,hometrainer,13.29,7.43,78.8,8,True,False,False
food_beverage_specialty,US,craft_chocolate,craft chocolate,håndlavet chokolade,13.29,8.5,56.3,8,True,True,True
fitness_apparel,US,compression_tights,compression tights,kompressionstights,17.57,11.71,50.0,8,True,True,True
jewelry_accessories,US,stacking_rings,stacking rings,stacking ringe,38.86,26.04,49.2,8,True,True,True
footwear_casual,US,chelsea_boots,chelsea boots,chelsea boots,61.86,44.43,39.2,8,True,True,True
garden_outdoor,US,garden_lighting,garden lighting,havebelysning,12.14,9,34.9,8,True,True,True
footwear_casual,US,slides,slides,badesandaler,85.71,63.61,34.8,8,True,True,True
garden_outdoor,US,patio_set,patio set,havemøbelsæt,12.86,9.79,31.4,8,True,True,True
garden_outdoor,US,outdoor_sofa,outdoor sofa,havesofa,8.86,6.79,30.5,8,False,False,False
fashion_men,US,leather_jacket,leather jacket,læderjakke,51.29,40.14,27.8,8,True,True,True
bikes_cycling,US,cycling_helmet,cycling helmet,cykelhjelm,27.86,21.93,27.0,8,True,True,True
footwear_casual,US,loafers,loafers,loafers,62.29,49.54,25.7,8,True,True,True
fashion_women,US,trench_coat,trench coat,trenchcoat,71.71,57.43,24.9,8,True,True,True
fashion_women,US,knit_cardigan,knit cardigan,strikket cardigan,44.43,35.86,23.9,8,True,True,True
toys_games,US,building_blocks,building blocks,klodser,56.43,45.61,23.7,8,True,True,True
kitchen_dining,US,dinnerware_set,dinnerware set,stel,18,14.57,23.5,8,True,True,True
bikes_cycling,US,bike_lights,bike lights,cykellygter,23.14,18.89,22.5,8,True,True,True
pet_supplies,US,pet_harness,pet harness,hundesele,17.86,14.68,21.7,8,True,True,True
beauty_makeup,US,eyeshadow_palette,eyeshadow palette,øjenskygge palette,37.86,31.18,21.4,8,True,True,True
jewelry_accessories,US,leather_wallet,leather wallet,læderpung,19.86,16.43,20.9,8,True,True,True
tech_accessories,US,usb_hub,usb hub,usb hub,16.43,13.82,18.9,8,True,True,True
fitness_apparel,US,training_jacket,training jacket,trænings jakke,8.71,7.36,18.4,8,False,False,False
bath_personal_care,US,shower_gel,shower gel,shower gel,20.86,17.75,17.5,8,True,True,True
lingerie_intimates,US,robe,robe,morgenkåbe,64.14,54.64,17.4,8,True,True,True
fashion_women,US,slip_skirt,slip skirt,slipskirt,36.71,31.32,17.2,8,True,True,True
fashion_women,US,midi_skirt,midi skirt,midi nederdel,39.86,34.25,16.4,8,True,True,True
beauty_skincare,US,retinol_serum,retinol serum,retinol serum,27.43,23.71,15.7,8,True,True,True
tech_accessories,US,mechanical_keyboard,mechanical keyboard,mekanisk tastatur,18.57,16.07,15.6,8,True,True,True
fitness_apparel,US,leggings,leggings,leggings,55.57,48.14,15.4,8,True,True,True
kitchen_dining,US,cookware_set,cookware set,grydesæt,9.71,8.43,15.3,8,False,True,False
home_appliances,US,vacuum_cleaner,vacuum cleaner,støvsuger,22.86,19.96,14.5,8,True,True,True
fashion_men,US,knitwear,knitwear,strikvarer,37,32.39,14.2,8,True,True,True
fashion_men,US,oxford_shirt,oxford shirt,oxford skjorte,23.14,20.32,13.9,8,True,True,True
lighting,US,string_lights,string lights,lyskæde,39.14,34.39,13.8,8,True,True,True
lingerie_intimates,US,silk_pajamas,silk pajamas,silke pyjamas,48.86,43.04,13.5,8,True,True,True
furniture_indoor,US,modular_sofa,modular sofa,modulsofa,11,9.71,13.2,8,True,True,True
beauty_skincare,US,exfoliant,exfoliant,peeling,55.29,49.07,12.7,8,True,True,True
fitness_apparel,US,yoga_pants,yoga pants,yogabukser,54.14,48.07,12.6,8,True,True,True
outdoor_recreation,US,headlamp,headlamp,pandelampe,30.86,27.46,12.4,8,True,True,True
fitness_apparel,US,tennis_skirt,tennis skirt,tennis nederdel,41.86,37.32,12.2,8,True,True,True
lighting,US,led_strip,led strip,led strip,27.29,24.39,11.9,8,True,True,True
lighting,US,outdoor_solar_lights,outdoor solar lights,solcellelamper,26,23.29,11.7,8,True,True,True
home_decor,US,candle,candle,stearinlys,74.86,67.07,11.6,8,True,True,True
beauty_makeup,US,concealer,concealer,concealer,34.29,30.79,11.4,8,True,True,True
tech_accessories,US,mouse_pad,mouse pad,musemåtte,46.57,41.93,11.1,8,True,True,True
toys_games,US,puzzle,puzzle,puslespil,66.86,60.21,11.0,8,True,True,True
beauty_skincare,US,retinol_cream,retinol cream,retinol creme,27.14,24.46,10.9,8,True,True,True
fashion_men,US,polo_shirt,polo shirt,polo shirt,37.86,34.18,10.8,8,True,True,True
lighting,US,reading_lamp,reading lamp,læselampe,26.29,23.71,10.8,8,True,True,True
diy_tools,US,work_gloves,work gloves,arbejdshandsker,45,40.71,10.5,8,True,True,True
jewelry_accessories,US,tennis_bracelet,tennis bracelet,tennisarmbånd,45.57,41.39,10.1,8,True,True,True
lingerie_intimates,US,lounge_set,lounge set,loungewear sæt,16.29,14.79,10.1,8,True,True,True
