industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
toys_games,US,kids_art_supplies,kids art supplies,børne hobbyartikler,16.43,0.43,3733.3,8,True,False,False
home_appliances,US,air_conditioner,air conditioner,aircondition,64.71,53.82,20.2,8,True,True,True
garden_outdoor,US,bbq,BBQ,grill,66,60.25,9.5,8,True,True,True
food_beverage_specialty,US,craft_liquorice,craft liquorice,lakrids,0,0,0,8,False,False,False
hair_care,US,leave_in_conditioner,leave in conditioner,leave in conditioner,63.57,65.11,-2.4,8,True,True,False
home_appliances,US,freezer,freezer,fryser,79.43,82.43,-3.6,8,True,True,False
home_appliances,US,fan,fan,ventilator,68.14,72.39,-5.9,8,True,True,False
food_beverage_specialty,US,hot_sauce,hot sauce,hot sauce,61.29,66.21,-7.4,8,True,True,False
toys_games,US,puzzle,puzzle,puslespil,33.71,36.57,-7.8,8,True,True,False
toys_games,US,stuffed_animal,stuffed animal,bamse,48.43,53.04,-8.7,8,True,True,False
home_appliances,US,air_fryer,air fryer,airfryer,52.86,58,-8.9,8,True,True,False
lingerie_intimates,US,bikini,bikini,bikini,60.14,66.29,-9.3,8,True,True,False
fashion_women,US,ballet_flats,ballet flats,ballerinasko,45.29,50.07,-9.6,8,True,True,False
footwear_casual,US,ballet_flats,ballet flats,ballerinasko,45.14,50.07,-9.8,8,True,True,False
home_decor,US,candle,candle,stearinlys,50,55.71,-10.3,8,True,True,False
outdoor_recreation,US,backpack,backpack,rygsæk,33.86,38.11,-11.2,8,True,True,False
toys_games,US,board_game,board game,brætspil,39,44.11,-11.6,8,True,True,False
kids_baby,US,kids_clothing,kids clothing,børnetøj,41,47.04,-12.8,8,True,True,False
home_appliances,US,dehumidifier,dehumidifier,affugter,61.86,71.11,-13.0,8,True,True,False
home_decor,US,curtains,curtains,gardiner,56.71,65.21,-13.0,8,True,True,False
home_appliances,US,microwave,microwave,mikroovn,56.57,65.18,-13.2,8,True,True,False
tech_accessories,US,webcam,webcam,webcam,59,68.04,-13.3,8,True,True,False
bath_personal_care,US,bath_salts,bath salts,badesalt,50.71,58.54,-13.4,8,True,True,False
fashion_men,US,suit,suit,jakkesæt,35,40.43,-13.4,8,True,True,False
sports_fitness,US,compression_wear,compression wear,kompressionstøj,65,75.96,-14.4,8,True,True,False
home_appliances,US,washing_machine,washing machine,vaskemaskine,49.43,57.86,-14.6,8,True,True,False
outdoor_recreation,US,tent,tent,telt,59.86,70.68,-15.3,8,True,True,False
bath_personal_care,US,perfume,perfume,parfume,45.71,54.36,-15.9,8,True,True,False
garden_outdoor,US,parasol,parasol,parasol,47.57,56.64,-16.0,8,True,True,False
outdoor_recreation,US,cooler,cooler,køleboks,61.43,73.36,-16.3,8,True,True,False
toys_games,US,doll_house,doll house,dukkehus,46.14,55.21,-16.4,8,True,True,False
home_appliances,US,dishwasher,dishwasher,opvaskemaskine,49.57,60.25,-17.7,8,True,True,False
home_appliances,US,blender,blender,blender,28,34.14,-18.0,8,True,True,False
sports_fitness,US,water_bottle,water bottle,drikkedunk,62.71,76.68,-18.2,8,True,True,False
stationery_office,US,calendar,calendar,kalender,52.14,64.57,-19.2,8,True,True,False
